Ticker
AO.L
SPT.L
SONG.L
DEC.L
ELM.L
HMSO.L
CBG.L
MCG.L
SMWH.L
MSLH.L
THRL.L
ESNT.L
EBOX.L
MOON.L
TRST.L
BBH.L
DSCV.L
RSW.L
OXIG.L
QLT.L
PAG.L
HTWS.L
JLEN.L
DNLM.L
DARK.L
WIZZ.L
VCT.L
WKP.L
GAW.L
WPS.L
CEY.L
EDV.L
JUP.L
LMP.L
GPE.L
JDW.L
FAN.L
CCR.L
IHP.L
TBCG.L
RAT.L
MRC.L
SHC.L
FCSS.L
PPH.L
MNKS.L
GFTU.L
SNR.L
TEP.L
SUPR.L
MAB.L
EMG.L
BBGI.L
EWI.L
USA.L
SRE.L
PHLL.L
WOSG.L
N91.L
JGGI.L
BOWL.L
IPO.L
FSV.L
TUI.L
AGR.L
SXS.L
CHG.L
FXPO.L
BAKK.L
DLN.L
REDD.L
GSCT.L
BCG.L
IEM.L
SSPG.L
HILS.L
SDP.L
PAGE.L
SAIN.L
BRWM.L
JMG.L
SVS.L
SAFE.L
FEML.L
SCT.L
ITV.L
BWY.L
JII.L
BYG.L
ATST.L
HSL.L
HOC.L
ROR.L
VSVS.L
QQ.L
WWH.L
EDIN.L
BOY.L
DGN.L
MRCH.L
SSON.L
TIFS.L
APAX.L
ESP.L
BLND.L
GRG.L
HAS.L
HICL.L
HRI.L
HBR.L
AGT.L
CURY.L
IGG.L
WTAN.L
TEM.L
KLR.L
BBOX.L
MTO.L
CTY.L
UKW.L
ASHM.L
TCAP.L
STEM.L
BAG.L
VEIL.L
PCT.L
DWL.L
HSX.L
PNL.L
JAM.L
NESF.L
SRP.L
MEGP.L
INVP.L
VOF.L
JEDT.L
TMPL.L
BYIT.L
RICA.L
JTC.L
BNKR.L
TYMN.L
SYNC.L
OSB.L
3IN.L
VMUK.L
BREE.L
LWDB.L
CKN.L
BVIC.L
FGT.L
CCC.L
THRG.L
TFIF.L
SPI.L
SOI.L
PHI.L
NAS.L
MUT.L
FSFL.L
FOUR.L
ESCT.L
BSIF.L
BPT.L
ATT.L
ASL.L
ASCL.L
INCH.L
SEQI.L
CLDN.L
NETW.L
TRY.L
PIN.L
BGEO.L
TRIG.L
MYI.L
CGT.L
PLUS.L
HL.L
DRX.L
JMAT.L
BRGE.L
DLG.L
GRI.L
RHIM.L
BGFD.L
PFD.L
TATE.L
GCP.L
RDW.L
GEN.L
EOT.L
BBY.L
CWK.L
JFJ.L
VTY.L
AJB.L
PETS.L
IBST.L
BRSC.L
FEV.L
MGNS.L
INDV.L
CRST.L
NBPE.L
BHMG.L
TPK.L
LRE.L
ORIT.L
ICGT.L
HGT.L
COA.L
SHED.L
FSG.L
RCP.L
JUST.L
HTG.L
KIE.L
HFG.L
HVPE.L
PRTC.L
IDS.L
ABDN.L
ENOG.L
DOCS.L
GNS.L
WG.L
INPP.L
PNN.L
PHP.L
PZC.L
IWG.L
KNOS.L
SEIT.L
MGAM.L
FUTR.L
TRN.L
FGP.L
PTEC.L
AML.L
BAB.L
DOM.L
ATG.L
BCPT.L
MONY.L
CCL.L
ITH.L
